Date,Open,High,Low,Close,Adj Close,Volume,CAGR,annual avg of CAGR over all time,S&P annual CAGR,BRK annual CARG,BRK vs SP500
2016-10-01,144.270004,145.710007,141.919998,144.300003,144.300003,58778600,11.80%,,,,
2016-11-01,144.679993,159.089996,142.350006,157.440002,157.440002,88383300,11.97%,,,,
2016-12-01,157.580002,167.25,157.509995,162.979996,162.979996,82826600,9.90%,11.33%,11.93%,23.19%,
2017-01-01,164.339996,165.300003,158.610001,164.139999,164.139999,68222200,8.97%,,,,
2017-02-01,164.75,172.199997,162.149994,171.419998,171.419998,65292400,9.10%,,,,
2017-03-01,173.699997,177.860001,165.800003,166.679993,166.679993,91077300,7.81%,,,,
2017-04-01,166.720001,168.949997,162.279999,165.210007,165.210007,71143500,9.18%,,,,
2017-05-01,165.800003,168.039993,160.929993,165.279999,165.279999,77027900,9.56%,,,,
2017-06-01,165.800003,171.949997,164.75,169.369995,169.369995,74743700,9.79%,,,,
2017-07-01,170.399994,175.600006,168,174.970001,174.970001,56308100,9.18%,,,,
2017-08-01,175.929993,181.869995,174.809998,181.160004,181.160004,68412700,8.40%,,,,
2017-09-01,181.600006,184,172.610001,183.320007,183.320007,69468900,7.59%,,,,
2017-10-01,183.449997,190.679993,182.929993,186.940002,186.940002,58414700,7.45%,,,,
2017-11-01,188.100006,193.809998,180.440002,193.009995,193.009995,67325200,6.81%,,,,
2017-12-01,193.589996,200.5,189.720001,198.220001,198.220001,78499100,6.01%,8.32%,21.94%,19.57%,
2018-01-01,198.869995,217.619995,195.960007,214.380005,214.380005,86828800,5.23%,,,,
2018-02-01,214.490005,217.5,189.300003,207.199997,207.199997,113727500,2.69%,,,,
2018-03-01,206.820007,213.360001,191.869995,199.479996,199.479996,100508000,4.10%,,,,
2018-04-01,199.009995,202.770004,192.020004,193.729996,193.729996,78790800,5.69%,,,,
2018-05-01,193.759995,202.410004,188.619995,191.529999,191.529999,85907800,6.94%,,,,
2018-06-01,192.899994,196.740005,184.75,186.649994,186.649994,94740600,7.36%,,,,
2018-07-01,186.089996,201.399994,185.720001,197.869995,197.869995,79797600,9.17%,,,,
2018-08-01,198.800003,211.320007,196.770004,208.720001,208.720001,85478300,6.55%,,,,
2018-09-01,209.210007,223,208.039993,214.110001,214.110001,81811900,4.48%,,,,
2018-10-01,215.919998,224.070007,197.289993,205.279999,205.279999,111553000,3.19%,,,,
2018-11-01,205.600006,223.520004,203.389999,218.240005,218.240005,92111300,5.68%,,,,
2018-12-01,221.979996,223.589996,186.100006,204.179993,204.179993,123643400,2.08%,5.26%,-4.41%,12.74%,
2019-01-01,201.729996,208.009995,191.039993,205.539993,205.539993,99687600,7.18%,,,,
2019-02-01,206.520004,209.399994,198.210007,201.300003,201.300003,80023200,6.19%,,,,
2019-03-01,203.149994,207.75,197.029999,200.889999,200.889999,89064500,7.44%,,,,
2019-04-01,202.160004,217.320007,202,216.710007,216.710007,64254100,8.11%,,,,
2019-05-01,217.220001,219.160004,197.080002,197.419998,197.419998,88800700,3.96%,,,,
2019-06-01,197.619995,213.330002,196.889999,213.169998,213.169998,72123900,10.58%,,,,
2019-07-01,214.25,216.580002,204.360001,205.429993,205.429993,69209000,5.37%,,,,
2019-08-01,205.630005,206.979996,195.399994,203.410004,203.410004,96629400,8.80%,,,,
2019-09-01,201.190002,214.580002,200.190002,208.020004,208.020004,78363900,11.18%,,,,
2019-10-01,208.940002,213.710007,201.330002,212.580002,212.580002,78088100,8.63%,,,,
2019-11-01,213.550003,223.369995,213.399994,220.300003,220.300003,72096700,7.25%,,,,
2019-12-01,220.600006,228.229996,216.399994,226.5,226.5,79910300,4.65%,7.45%,31.74%,10.25%,
2020-01-01,227.509995,231.610001,221.110001,224.429993,224.429993,79813500,1.85%,,,,
2020-02-01,225.479996,230.080002,199.679993,206.339996,206.339996,95269700,3.03%,,,,
2020-03-01,207.25,218.800003,159.5,182.830002,182.830002,276783400,14.34%,,,,
2020-04-01,176.179993,197.229996,174.190002,187.360001,187.360001,151275200,44.11%,,,,
2020-05-01,185.210007,187.279999,167.039993,185.580002,185.580002,143985200,39.95%,,,,
2020-06-01,185.529999,203.330002,174.630005,178.509995,178.509995,172082600,46.40%,,,,
2020-07-01,178.410004,196.669998,177.339996,195.779999,195.779999,125965100,68.70%,,,,
2020-08-01,197.279999,219.449997,196,218.039993,218.039993,102255500,47.15%,,,,
2020-09-01,216.919998,223.240005,206.580002,212.940002,212.940002,115310800,21.91%,,,,
2020-10-01,214.300003,217.429993,197.809998,201.899994,201.899994,91607500,36.72%,,,,
2020-11-01,204.839996,234.990005,203.059998,228.910004,228.910004,104416400,109.61%,,,,
2020-12-01,230.229996,232.279999,221.259995,231.869995,231.869995,124260900,8.10%,36.82%,18.38%,1.30%,
2021-01-01,231.729996,231.869995,226.850006,227.470001,227.470001,12929800,#DIV/0!,,,,
